dep,no_dep
Артыкбаев О.М.,137
Исаев К.К.,76
Мамашова А.Т.,60
Аманкулов М.А.,54
Сурабалдиева Э.Ж.,48
Текебаев О.Ч.,46
Сабиров М.Э.,44
Алимбеков Н.К.,43
Тулендыбаев П.Р.,41
Никитенко Н.В.,40
Нурбаев А.М.,39
Иманалиев К.К.,39
Строкова Е.Г.,36
Бекешев Д.Д.,36
Сулейманов Б.И.,36
Касымалиева А.К.,35
Орозова К.Б.,34
Баймуратов К.Ш.,33
Шер-Нияз С.,32
Акаев Ж.К.,31
Бакиров М.И.,30
Казакбаев Р.А.,29
Исаева Д.Ш.,28
Баатырбеков А.Б.,28
Торобаев Б.Э.,28
Зулпукаров Т.З.,28
Акматов А.Ж.,28
Жунус уулу Адыл,28
Маматов А.М.,27
Маннанов И.А.,27
Шайназаров Т.У.,26
Алтыбаева А.Т.,26
Бабанов О.Т.,26
Молдобекова Г.С.,26
Токтошев Э.Т.,26
Джумабеков Д.А.,25
Жапаров А.У.,25
Исаков М.А.,24
Токторов А.С.,24
Жамангулов А.Ж.,23
Туманбаева Р.М.,23
Арапбаев А.А.,23
Нышанов С.К.,22
Пирматов И.А.,22
Эгембердиев М.Б.,22
Мадеминов М.Г.,22
Самигуллина А.Э.,22
Масалиев И.А.,21
Осмонова А.Ш.,21
Асылбек уулу Д.,21
Мамытов Т.Т.,20
Жамалдинов З.И.,20
Эргешов А.М.,20
Иминов Ф.А.,19
Омуркулов И.Ш.,19
Исмаилова А.Ж.,19
Мусабекова Ж.А.,19
Жутанов А.Т.,19
Кыдыралиев У.Т.,19
Толонов Д.Э.,18
Турсунбеков Ч.А.,18
Турускулов Ж.К.,17
Юсуров А.Л.,17
Матраимов И.И.,17
Нишанов Н.Н.,16
Нурматов К.С.,16
Жунус уулу Алтынбек,15
Бокоев К.С.,15
Артыков А.А.,15
Джураев С.М.,15
Асылбаева Г.К.,15
Алтынбеков А.,14
Аттокуров Д.Б.,14
Карашев А.А.,14
Гайпкулов И.Т.,14
Узакбаев А.О.,14
Айдаров С.А.,14
Сарсейитов И.З.,14
Абжалиев А.Т.,14
Турсунбаев А.А.,14
Сыдыков Б.У.,14
Субанбеков Б.Ж.,13
Калмаматов Ж.А.,13
Айнакулов М.А.,13
Масабиров Т.А.,13
Жеенбеков А.Ш.,13
Бакчиев Ж.А.,13
Кодуранова А.С.,13
Мавлянова М.Э.,12
Самаев У.О.,12
Чудинов И.В.,12
Жетигенов Б.Ж.,12
Тиллаев Т.Г.,12
Торокулов Д.Г.,11
Шыкмаматов А.Н.,11
Зулушев К.Т.,11
Жолдошбаев К.,11
Жумалиев К.М.,10
Турусбеков Б.С.,10
Сулайманов А.Т.,10
Байбакпаев Э.Дж.,10
Все присутствовали,10
Салянова А.Ж.,9
Икрамов Т.И.,9
Кулбараков А.И.,9
Ибраимжанов Б.С.,9
Примов У.Б.,9
Карамушкина И.Ю.,9
Чойбеков Р.Н.,9
Назаров А.К.,9
Ормонов У.З.,8
Келдибаев С.А.,8
Султанов А.М.,8
Шадиев А.А.,8
Чолпонбаев У.С.,8
Дюшалиев А.К.,8
Керезбеков К.К.,7
Каримов Н.Т.,6
Джакупова Ч.И.,6
Момбеков Р.Ч.,6
Абдылдаев М.Ю.,5
Жылкыбаев У.К.,5
Шарапов З.Э.,5
Самат Гульнара Клара,5
Омурбекова А.С.,5
Конушбаев Т.К.,5
Мусаев Н.И.,5
Жеенчороев М.К.,5
Маматалиев М.А.,4
Райымкулов Б.К.,4
Бакиров О.М.,4
Тагаев Э.С.,4
Сатыбалдиев К.У.,4
Макеев Н.К.,4
Жоробеков Т.У.,3
не указано,3
Рыспаев К.Дж.,3
Алыбаев О.А.,3
Мискенбаев М.Дж.,2
Исаев Ж.Б.,2
Исакунова Т.Б.,1
Сыдыгалиев Б.К.,1
Саматов Ж.А.,1
Тотонов Н.Т.,1
Кадыркулов И.А.,1
Исаев Т.К.,1
Рысалиев З.К.,1
