dep,to_dep
Омуркулов И.Ш.,138
Зулпукаров Т.З.,59
Турускулов Ж.К.,41
Шыкмаматов А.Н.,39
Баатырбеков А.Б.,36
Аманкулов М.А.,36
Карашев А.А.,36
Торобаев Б.Э.,35
Жеенчороев М.К.,34
Джураев С.М.,32
Токтошев Э.Т.,31
Никитенко Н.В.,30
Примов У.Б.,30
Сулайманов А.Т.,29
Нышанов С.К.,27
Зулушев К.Т.,23
Субанбеков Б.Ж.,22
Бабанов О.Т.,22
Эргешов А.М.,21
Мавлянова М.Э.,21
Жеенбеков А.Ш.,20
Масабиров Т.А.,19
Кодуранова А.С.,19
Икрамов Т.И.,19
Жамалдинов З.И.,18
Бакиров М.И.,18
Байбакпаев Э.Ж.,18
Асылбаева Г.К.,17
Тулендыбаев П.Р.,17
Касымалиева А.К.,17
Орозова К.Б.,17
Абдылдаев М.Ю.,17
Тиллаев Т.Г.,16
Молдобекова Г.С.,14
Керезбеков К.К.,14
Абжалиев А.Т.,14
Омурбекова А.С.,13
Каримов Н.Т.,13
Айдаров С.А.,13
Исаев К.К.,13
Артыкбаев О.М.,13
Райымкулов Б.К.,13
Сыдыков Б.У.,12
Маматов А.М.,12
Матраимов И.И.,12
Строкова Е.Г.,12
Турсунбаев А.А.,12
Алтынбеков А.,11
Алимбеков Н.К.,11
Толонов Д.Э.,11
Иманалиев К.К.,11
Нурбаев А.М.,11
Акматов А.Ж.,11
Узакбаев А.О.,10
Туманбаева Р.М.,10
Маннанов И.А.,10
Баймуратов К.Ш.,10
Нурматов К.С.,10
Мамытов Т.Т.,10
Шайназаров Т.У.,9
Казакбаев Р.А.,9
Жамангулов А.Ж.,9
Торокулов Д.Г.,9
Ормонов У.З.,9
Мамашова А.Т.,9
Бекешев Д.Д.,8
Арапбаев А.А.,8
Самигуллина А.Э.,8
Токторов А.С.,7
Сулейманов Б.И.,7
Осмонова А.Ш.,7
Конушбаев Т.К.,6
Исаков М.А.,6
Жылкыбаев У.К.,6
Жунус уулу Алтынбек,6
Карамушкина И.Ю.,6
Мадеминов М.Г.,6
Салянова А.Ж.,5
Масалиев И.А.,5
Султанбекова Ч.А.,5
Самаев У.О.,5
Бокоев К.С.,5
Сабиров М.Э.,4
Сыдыгалиев Н.О.,4
Аттокуров Д.Б.,4
Нишанов Н.Н.,4
Маматалиев М.А.,4
Чойбеков Р.Н.,4
Чудинов И.В.,4
Артыков А.А.,4
Акаев Ж.К.,4
Назаров А.К.,3
Турсунбеков Ч.А.,3
Жутанов А.Т.,3
Исаев Т.К.,3
Текебаев О.Ч.,3
Эгембердиев М.Б.,3
Келдибаев С.А.,3
Мусабекова Ж.А.,3
Джумабеков Д.А.,3
Гайпкулов И.Т.,3
Жунус уулу Адыл,3
Исаев Ж.Б.,3
Шарапов З.Э.,3
Турусбеков Б.С.,2
Момбеков Р.Ч.,2
Алыбаев О.А.,2
Алтыбаева А.Т.,2
Кыдыралиев У.Т.,2
Жапаров А.У.,2
Кулбараков А.И.,2
Бакчиев Ж.А.,2
Сарсейитов И.З.,2
Сурабалдиева Э.Ж.,2
Ибраимжанов Б.С.,2
Калмаматов Ж.А.,1
Юсуров А.Л.,1
Кадыркулов И.А.,1
Нурматов С.А.,1
Тагаев Э.С.,1
Джакупова Ч.И.,1
Рыспаев К.Дж.,1
Макеев Н.К.,1
Бакиров О.М.,1
Жоробеков Т.У.,1
Жетигенов Б.Ж.,1
Султанов А.М.,1
Исаева Д.Ш.,1
